user_id,full_name,email,role,village_id,points,reports_submitted,badges,join_date
USR0026,Kavya Kulkarni,kavya.kulkarni26@example.com,Citizen,VLG036,100,20,Bird Buff;Species Spotter;Community Champion;Green Guardian,2026-02-09
USR0027,Vihaan Jadhav,vihaan.jadhav27@example.com,Citizen,VLG066,28,2,Verified Observer,2025-04-15
USR0028,Aarav More,aarav.more28@example.com,Researcher,VLG097,24,3,,2024-08-08
USR0029,Riya Sable,riya.sable29@example.com,Forest Officer,VLG025,30,5,Wetland Watcher;Top Contributor,2016-05-20
USR0030,Myra Deshmukh,myra.deshmukh30@example.com,Citizen,VLG055,54,3,,2023-02-07
USR0031,Riya Shinde,riya.shinde31@example.com,Citizen,VLG087,99,9,Verified Observer;Species Spotter,2016-09-23
USR0032,Vihaan Chavan,vihaan.chavan32@example.com,Citizen,VLG040,90,6,Species Spotter;Bird Buff,2021-07-12
USR0033,Aadhya Gaikwad,aadhya.gaikwad33@example.com,Citizen,VLG005,36,2,Species Spotter,2022-06-30
USR0034,Sarika Pawar,sarika.pawar34@example.com,Citizen,VLG005,9,1,Wetland Watcher,2020-06-13
USR0035,Kavita Jadhav,kavita.jadhav35@example.com,Citizen,VLG011,84,12,Newcomer;Top Contributor;Bird Buff,2019-04-18
USR0036,Rohan Kulkarni,rohan.kulkarni36@example.com,Citizen,VLG093,14,1,Green Guardian,2025-02-12
USR0037,Pari Salunkhe,pari.salunkhe37@example.com,Administrator,VLG013,160,8,Green Guardian;Wetland Watcher,2023-04-22
USR0038,Snehal Thorat,snehal.thorat38@example.com,Forest Officer,VLG068,84,7,Verified Observer,2017-10-23
USR0039,Aadhya Deshmukh,aadhya.deshmukh39@example.com,Forest Officer,VLG075,27,3,Green Guardian,2025-01-09
USR0040,Kavya Jadhav,kavya.jadhav40@example.com,Citizen,VLG025,90,10,Bird Buff;Species Spotter;Verified Observer,2021-02-21
USR0041,Sarika Kale,sarika.kale41@example.com,Citizen,VLG022,0,0,Bird Buff,2025-12-04
USR0042,Riya Jadhav,riya.jadhav42@example.com,Citizen,VLG048,0,0,,2016-08-18
USR0043,Ananya Kale,ananya.kale43@example.com,Citizen,VLG026,64,4,,2019-06-14
USR0044,Anika Pawar,anika.pawar44@example.com,Administrator,VLG041,64,8,Newcomer;Verified Observer,2020-06-30
USR0045,Diya Shelke,diya.shelke45@example.com,Citizen,VLG075,0,0,,2019-02-06
USR0046,Arjun Gaikwad,arjun.gaikwad46@example.com,Citizen,VLG015,7,1,,2025-05-23
USR0047,Rohan Ghadge,rohan.ghadge47@example.com,Forest Officer,VLG032,36,4,Bird Buff,2025-10-04
USR0048,Aadhya Salunkhe,aadhya.salunkhe48@example.com,Researcher,VLG059,0,0,Verified Observer,2016-07-08
USR0049,Nitin Shinde,nitin.shinde49@example.com,Administrator,VLG093,68,4,,2017-05-23
USR0050,Sarika Chavan,sarika.chavan50@example.com,Citizen,VLG096,24,2,,2022-02-08
USR0051,Ganesh Wagh,ganesh.wagh51@example.com,Citizen,VLG077,48,4,Verified Observer,2017-10-13
USR0052,Ishaan Bankar,ishaan.bankar52@example.com,Citizen,VLG083,38,2,,2026-06-23
USR0053,Kavya Bhosale,kavya.bhosale53@example.com,Citizen,VLG089,0,0,,2018-04-08
USR0054,Ananya Kulkarni,ananya.kulkarni54@example.com,Citizen,VLG046,11,1,,2017-08-22
USR0055,Kavita Bhosale,kavita.bhosale55@example.com,Administrator,VLG009,33,3,,2022-01-15
USR0056,Sarika Gaikwad,sarika.gaikwad56@example.com,Citizen,VLG012,0,0,,2022-12-15
USR0057,Arjun Pawar,arjun.pawar57@example.com,Administrator,VLG050,12,2,,2021-01-28
USR0058,Neha More,neha.more58@example.com,Citizen,VLG010,0,0,Verified Observer,2022-01-11
USR0059,Pooja Kulkarni,pooja.kulkarni59@example.com,Researcher,VLG057,0,0,Verified Observer,2018-06-26
USR0060,Vivaan Ghadge,vivaan.ghadge60@example.com,Citizen,VLG055,0,0,,2025-12-08
USR0061,Ganesh Shinde,ganesh.shinde61@example.com,Citizen,VLG020,30,2,,2024-11-20
USR0062,Mahesh Jadhav,mahesh.jadhav62@example.com,Researcher,VLG013,128,8,Species Spotter;Newcomer,2020-12-02
USR0063,Rupali More,rupali.more63@example.com,Administrator,VLG082,66,11,Bird Buff;Species Spotter,2019-02-16
USR0064,Sunita Kale,sunita.kale64@example.com,Administrator,VLG036,28,2,,2023-05-09
USR0065,Ramesh Joshi,ramesh.joshi65@example.com,Citizen,VLG033,36,2,Species Spotter,2025-08-01
USR0066,Myra Sable,myra.sable66@example.com,Citizen,VLG033,56,4,Green Guardian,2025-12-17
USR0067,Sai Pawar,sai.pawar67@example.com,Forest Officer,VLG057,20,1,Green Guardian,2024-11-28
USR0068,Kavita Salunkhe,kavita.salunkhe68@example.com,Citizen,VLG053,0,0,Newcomer,2020-09-01
USR0069,Aditya Chavan,aditya.chavan69@example.com,Administrator,VLG087,0,0,Species Spotter,2025-05-03
USR0070,Sarika Deshmukh,sarika.deshmukh70@example.com,Citizen,VLG062,20,4,Verified Observer,2025-06-27
USR0071,Rupali Shelke,rupali.shelke71@example.com,Administrator,VLG039,60,6,Community Champion,2020-01-20
USR0072,Ira Kulkarni,ira.kulkarni72@example.com,Citizen,VLG033,24,4,Community Champion,2021-01-01
USR0073,Sunita Gaikwad,sunita.gaikwad73@example.com,Citizen,VLG083,72,4,Species Spotter,2023-01-20
USR0074,Aditya Sable,aditya.sable74@example.com,Citizen,VLG048,28,2,,2016-07-28
USR0075,Aditya Rathod,aditya.rathod75@example.com,Researcher,VLG090,44,4,,2022-07-16
USR0076,Priya Sable,priya.sable76@example.com,Citizen,VLG096,0,0,,2017-12-05
USR0077,Prakash Wagh,prakash.wagh77@example.com,Researcher,VLG023,64,4,Top Contributor,2019-02-21
USR0078,Sunita Rathod,sunita.rathod78@example.com,Citizen,VLG008,27,3,,2025-02-27
USR0079,Ganesh Sable,ganesh.sable79@example.com,Citizen,VLG057,50,5,Species Spotter,2021-05-29
USR0080,Prakash Shinde,prakash.shinde80@example.com,Administrator,VLG057,0,0,,2026-06-19
USR0081,Suresh Salunkhe,suresh.salunkhe81@example.com,Citizen,VLG081,60,6,Green Guardian;Top Contributor,2024-08-22
USR0082,Rohan Ghadge,rohan.ghadge82@example.com,Researcher,VLG079,52,4,,2019-04-02
USR0083,Rupali Wagh,rupali.wagh83@example.com,Citizen,VLG081,68,4,Verified Observer,2020-08-10
USR0084,Sai Kulkarni,sai.kulkarni84@example.com,Researcher,VLG051,14,2,,2018-10-10
USR0085,Vivaan Wagh,vivaan.wagh85@example.com,Citizen,VLG089,252,14,Top Contributor;Community Champion,2016-01-29
USR0086,Suresh Gaikwad,suresh.gaikwad86@example.com,Citizen,VLG074,0,0,Community Champion,2026-04-23
USR0087,Rupali Kale,rupali.kale87@example.com,Forest Officer,VLG059,14,1,Bird Buff,2020-06-02
USR0088,Arjun Gaikwad,arjun.gaikwad88@example.com,Citizen,VLG087,6,1,,2021-11-05
USR0089,Sunita More,sunita.more89@example.com,Administrator,VLG035,0,0,,2025-09-16
USR0090,Nitin Wagh,nitin.wagh90@example.com,Forest Officer,VLG055,144,9,Green Guardian;Verified Observer,2024-09-21
USR0091,Sai Joshi,sai.joshi91@example.com,Citizen,VLG045,0,0,,2021-09-29
USR0092,Aadhya Bankar,aadhya.bankar92@example.com,Forest Officer,VLG031,57,3,,2025-05-05
USR0093,Ajay Pawar,ajay.pawar93@example.com,Citizen,VLG052,45,3,Verified Observer,2024-03-10
USR0094,Sanjay Bankar,sanjay.bankar94@example.com,Researcher,VLG094,9,1,Community Champion,2025-07-12
USR0095,Pooja Thorat,pooja.thorat95@example.com,Citizen,VLG050,0,0,Community Champion,2025-11-09
USR0096,Vivaan Kulkarni,vivaan.kulkarni96@example.com,Administrator,VLG022,98,7,Community Champion,2017-09-18
USR0097,Aditya Rathod,aditya.rathod97@example.com,Citizen,VLG080,18,1,Community Champion,2021-08-22
USR0098,Sunita Patil,sunita.patil98@example.com,Forest Officer,VLG095,36,3,,2017-07-24
USR0099,Ramesh Jadhav,ramesh.jadhav99@example.com,Citizen,VLG047,64,4,Community Champion,2023-11-26
USR0100,Meena Kulkarni,meena.kulkarni100@example.com,Researcher,VLG025,76,4,Top Contributor,2019-04-22
USR0101,Vihaan Pawar,vihaan.pawar101@example.com,Administrator,VLG010,64,4,Green Guardian,2018-02-17
USR0102,Priya Rathod,priya.rathod102@example.com,Citizen,VLG088,15,1,,2020-01-01
USR0103,Pooja Bankar,pooja.bankar103@example.com,Administrator,VLG089,14,2,Top Contributor,2025-01-10
USR0104,Aarav Wagh,aarav.wagh104@example.com,Citizen,VLG003,13,1,Verified Observer,2021-10-24
USR0105,Vikas Pawar,vikas.pawar105@example.com,Citizen,VLG076,182,13,Green Guardian;Newcomer;Wetland Watcher,2025-06-04
USR0106,Anika Patil,anika.patil106@example.com,Administrator,VLG067,5,1,Green Guardian,2017-09-24
USR0107,Rohan Deshmukh,rohan.deshmukh107@example.com,Citizen,VLG048,0,0,Verified Observer,2023-02-17
USR0108,Priya Chavan,priya.chavan108@example.com,Administrator,VLG014,0,0,Verified Observer,2024-07-17
USR0109,Sarika Bhosale,sarika.bhosale109@example.com,Citizen,VLG083,88,11,Community Champion;Top Contributor;Species Spotter,2023-04-12
USR0110,Pooja Thorat,pooja.thorat110@example.com,Forest Officer,VLG057,5,1,Green Guardian,2023-09-28
USR0111,Sanjay Chavan,sanjay.chavan111@example.com,Researcher,VLG059,80,5,Newcomer,2022-11-13
USR0112,Sanjay Patil,sanjay.patil112@example.com,Citizen,VLG077,117,9,Wetland Watcher;Bird Buff,2018-09-26
USR0113,Ramesh Jadhav,ramesh.jadhav113@example.com,Administrator,VLG034,40,4,,2023-08-19
USR0114,Neha Deshmukh,neha.deshmukh114@example.com,Researcher,VLG025,5,1,Verified Observer,2025-07-26
USR0115,Vivaan Wagh,vivaan.wagh115@example.com,Citizen,VLG024,77,11,Bird Buff;Community Champion;Newcomer,2022-02-02
USR0116,Ira Gaikwad,ira.gaikwad116@example.com,Citizen,VLG014,70,5,Newcomer,2023-06-17
USR0117,Myra Joshi,myra.joshi117@example.com,Researcher,VLG074,17,1,,2025-02-15
USR0118,Neha More,neha.more118@example.com,Forest Officer,VLG008,108,6,Wetland Watcher;Top Contributor,2025-05-29
USR0119,Neha Rathod,neha.rathod119@example.com,Citizen,VLG048,65,5,Species Spotter;Verified Observer,2018-07-30
USR0120,Vikas Patil,vikas.patil120@example.com,Citizen,VLG037,36,2,Bird Buff,2020-12-17
USR0121,Mahesh Gaikwad,mahesh.gaikwad121@example.com,Citizen,VLG073,0,0,,2025-06-24
USR0122,Reyansh Bankar,reyansh.bankar122@example.com,Citizen,VLG049,76,4,,2021-08-02
USR0123,Sanjay Salunkhe,sanjay.salunkhe123@example.com,Citizen,VLG004,119,7,Top Contributor;Wetland Watcher,2025-04-08
USR0124,Manisha Kale,manisha.kale124@example.com,Citizen,VLG099,9,1,,2022-02-24
USR0125,Pari Ghadge,pari.ghadge125@example.com,Researcher,VLG063,18,2,Verified Observer,2025-05-11
USR0126,Reyansh Shinde,reyansh.shinde126@example.com,Citizen,VLG055,5,1,Community Champion,2025-03-04
USR0127,Aarav Joshi,aarav.joshi127@example.com,Citizen,VLG029,5,1,,2020-06-15
USR0128,Sarika Kale,sarika.kale128@example.com,Administrator,VLG088,56,4,,2024-05-16
USR0129,Snehal Deshmukh,snehal.deshmukh129@example.com,Citizen,VLG011,20,1,,2025-03-23
USR0130,Aadhya Joshi,aadhya.joshi130@example.com,Citizen,VLG033,28,4,Newcomer,2022-12-14
USR0131,Manisha Thorat,manisha.thorat131@example.com,Forest Officer,VLG003,5,1,Top Contributor,2025-06-22
USR0132,Aarav Bhosale,aarav.bhosale132@example.com,Citizen,VLG071,15,1,,2019-09-17
USR0133,Sanjay Sable,sanjay.sable133@example.com,Administrator,VLG063,0,0,,2022-01-31
USR0134,Riya Kulkarni,riya.kulkarni134@example.com,Researcher,VLG050,119,17,Green Guardian;Verified Observer;Species Spotter,2022-07-10
USR0135,Kavya Shinde,kavya.shinde135@example.com,Citizen,VLG054,0,0,,2021-10-08
USR0136,Manisha Wagh,manisha.wagh136@example.com,Administrator,VLG076,48,3,,2018-12-07
USR0137,Rupali Shinde,rupali.shinde137@example.com,Citizen,VLG065,48,3,,2025-11-02
USR0138,Sai Wagh,sai.wagh138@example.com,Forest Officer,VLG080,0,0,,2020-09-27
USR0139,Ganesh More,ganesh.more139@example.com,Forest Officer,VLG100,136,8,Community Champion,2017-12-29
USR0140,Aditya Rathod,aditya.rathod140@example.com,Researcher,VLG042,0,0,,2021-07-04
USR0141,Ishaan Bankar,ishaan.bankar141@example.com,Citizen,VLG021,30,3,Community Champion,2020-06-06
USR0142,Ganesh Deshmukh,ganesh.deshmukh142@example.com,Citizen,VLG016,0,0,,2018-11-26
USR0143,Snehal Deshmukh,snehal.deshmukh143@example.com,Citizen,VLG025,76,4,Verified Observer,2020-07-15
USR0144,Aditya Bhosale,aditya.bhosale144@example.com,Forest Officer,VLG096,112,8,Bird Buff;Species Spotter,2023-01-17
USR0145,Priya Thorat,priya.thorat145@example.com,Researcher,VLG055,36,4,,2026-03-07
USR0146,Aditya Jadhav,aditya.jadhav146@example.com,Forest Officer,VLG030,19,1,,2022-10-17
USR0147,Sai Kale,sai.kale147@example.com,Forest Officer,VLG018,117,9,Top Contributor,2017-03-10
USR0148,Kavya Salunkhe,kavya.salunkhe148@example.com,Forest Officer,VLG001,27,3,,2020-01-07
USR0149,Kavita Bhosale,kavita.bhosale149@example.com,Citizen,VLG062,15,1,Community Champion,2022-02-05
USR0150,Sunita Pawar,sunita.pawar150@example.com,Forest Officer,VLG049,91,7,Bird Buff;Verified Observer,2016-04-23
USR0151,Ganesh Joshi,ganesh.joshi151@example.com,Citizen,VLG071,18,1,,2019-02-03
USR0152,Saanvi Pawar,saanvi.pawar152@example.com,Citizen,VLG077,30,6,Green Guardian,2026-01-20
USR0153,Arjun Chavan,arjun.chavan153@example.com,Citizen,VLG017,0,0,Bird Buff,2016-01-20
USR0154,Aadhya Shinde,aadhya.shinde154@example.com,Citizen,VLG073,136,8,Verified Observer;Species Spotter,2016-07-22
USR0155,Pooja Joshi,pooja.joshi155@example.com,Citizen,VLG053,20,1,,2017-03-05
USR0156,Vivaan Deshmukh,vivaan.deshmukh156@example.com,Citizen,VLG068,54,3,Bird Buff,2025-06-16
USR0157,Sanjay Salunkhe,sanjay.salunkhe157@example.com,Forest Officer,VLG070,144,9,Wetland Watcher,2020-01-03
USR0158,Aadhya Shelke,aadhya.shelke158@example.com,Citizen,VLG062,361,19,Wetland Watcher;Newcomer;Community Champion,2020-04-07
USR0159,Arjun Chavan,arjun.chavan159@example.com,Forest Officer,VLG038,0,0,Bird Buff,2022-04-15
USR0160,Rupali Shelke,rupali.shelke160@example.com,Citizen,VLG030,170,10,Verified Observer;Species Spotter;Newcomer,2016-10-18
USR0161,Kavita Bankar,kavita.bankar161@example.com,Citizen,VLG079,28,2,Species Spotter,2022-11-24
USR0162,Suresh Thorat,suresh.thorat162@example.com,Citizen,VLG071,209,11,Species Spotter;Green Guardian,2020-12-18
USR0163,Kavya Pawar,kavya.pawar163@example.com,Administrator,VLG020,45,3,Verified Observer,2025-05-19
USR0164,Pari Kulkarni,pari.kulkarni164@example.com,Citizen,VLG038,10,1,Top Contributor,2025-08-17
USR0165,Ramesh More,ramesh.more165@example.com,Citizen,VLG099,60,4,Species Spotter,2022-05-04
USR0166,Rohan Pawar,rohan.pawar166@example.com,Forest Officer,VLG070,16,2,,2022-06-21
USR0167,Krishna Kale,krishna.kale167@example.com,Citizen,VLG079,42,3,,2021-01-18
USR0168,Ishaan Salunkhe,ishaan.salunkhe168@example.com,Researcher,VLG072,40,2,,2026-02-01
USR0169,Aditya Chavan,aditya.chavan169@example.com,Citizen,VLG067,10,1,Newcomer,2017-02-18
USR0170,Diya Pawar,diya.pawar170@example.com,Citizen,VLG060,30,5,Top Contributor;Bird Buff,2021-06-24
USR0171,Vivaan Wagh,vivaan.wagh171@example.com,Forest Officer,VLG011,54,6,Species Spotter;Green Guardian,2019-08-18
USR0172,Sunita Patil,sunita.patil172@example.com,Researcher,VLG005,64,8,Wetland Watcher,2018-02-14
USR0173,Ananya Rathod,ananya.rathod173@example.com,Citizen,VLG001,6,1,Bird Buff,2019-12-13
USR0174,Kavita Jadhav,kavita.jadhav174@example.com,Citizen,VLG059,45,3,,2017-04-28
USR0175,Mahesh Wagh,mahesh.wagh175@example.com,Citizen,VLG050,0,0,,2026-04-18
USR0176,Reyansh Jadhav,reyansh.jadhav176@example.com,Researcher,VLG038,10,1,,2016-11-15
USR0177,Myra Patil,myra.patil177@example.com,Citizen,VLG063,78,6,Community Champion,2018-02-06
USR0178,Ganesh Gaikwad,ganesh.gaikwad178@example.com,Forest Officer,VLG057,128,8,Verified Observer;Bird Buff,2023-12-20
USR0179,Krishna Thorat,krishna.thorat179@example.com,Administrator,VLG026,40,8,Species Spotter,2024-10-31
USR0180,Krishna Rathod,krishna.rathod180@example.com,Citizen,VLG047,56,4,,2023-11-18
USR0181,Ira Bhosale,ira.bhosale181@example.com,Researcher,VLG014,117,9,Bird Buff,2022-05-03
USR0182,Aarav Kale,aarav.kale182@example.com,Forest Officer,VLG099,28,2,,2016-11-17
USR0183,Pari Ghadge,pari.ghadge183@example.com,Citizen,VLG023,0,0,Verified Observer,2021-06-24
USR0184,Rohan Deshmukh,rohan.deshmukh184@example.com,Forest Officer,VLG057,0,0,Newcomer,2023-06-19
USR0185,Priya More,priya.more185@example.com,Researcher,VLG046,18,1,Community Champion,2021-11-06
USR0186,Manisha Rathod,manisha.rathod186@example.com,Forest Officer,VLG094,0,0,,2018-06-20
USR0187,Reyansh Wagh,reyansh.wagh187@example.com,Forest Officer,VLG084,18,1,,2016-11-02
USR0188,Ishaan Shelke,ishaan.shelke188@example.com,Citizen,VLG040,140,10,Green Guardian;Bird Buff;Species Spotter,2023-01-31
USR0189,Snehal Bhosale,snehal.bhosale189@example.com,Forest Officer,VLG092,80,5,Top Contributor;Verified Observer,2021-08-11
USR0190,Vivaan Salunkhe,vivaan.salunkhe190@example.com,Citizen,VLG024,180,9,Verified Observer;Community Champion,2021-10-23
USR0191,Kavita Wagh,kavita.wagh191@example.com,Citizen,VLG087,15,3,,2021-05-01
USR0192,Vikas More,vikas.more192@example.com,Citizen,VLG068,20,2,,2025-10-16
USR0193,Anika More,anika.more193@example.com,Citizen,VLG073,20,1,,2022-10-08
USR0194,Sai Kale,sai.kale194@example.com,Citizen,VLG065,20,1,,2018-12-14
USR0195,Meena Pawar,meena.pawar195@example.com,Citizen,VLG078,52,4,,2016-09-24
USR0196,Priya Bankar,priya.bankar196@example.com,Citizen,VLG038,84,6,Species Spotter,2020-02-17
USR0197,Pari Bankar,pari.bankar197@example.com,Citizen,VLG022,0,0,,2017-09-07
USR0198,Ganesh Bhosale,ganesh.bhosale198@example.com,Citizen,VLG034,95,5,Bird Buff,2018-04-12
USR0199,Arjun Patil,arjun.patil199@example.com,Forest Officer,VLG093,0,0,,2023-04-12
USR0200,Ishaan Bhosale,ishaan.bhosale200@example.com,Citizen,VLG008,64,4,Top Contributor,2018-10-18
USR0201,Neha Wagh,neha.wagh201@example.com,Administrator,VLG099,38,2,Top Contributor,2017-01-18
USR0202,Rohan Jadhav,rohan.jadhav202@example.com,Citizen,VLG021,0,0,Newcomer,2018-10-05
USR0203,Kavya Gaikwad,kavya.gaikwad203@example.com,Citizen,VLG004,24,3,,2019-12-06
USR0204,Aarav Bankar,aarav.bankar204@example.com,Forest Officer,VLG027,0,0,,2020-07-02
USR0205,Vivaan Joshi,vivaan.joshi205@example.com,Citizen,VLG018,63,7,Newcomer;Verified Observer,2016-01-08
USR0206,Snehal More,snehal.more206@example.com,Citizen,VLG091,36,2,Green Guardian,2016-10-09
USR0207,Sanjay Gaikwad,sanjay.gaikwad207@example.com,Citizen,VLG028,7,1,,2018-05-10
USR0208,Suresh Pawar,suresh.pawar208@example.com,Researcher,VLG026,34,2,Community Champion,2017-07-01
USR0209,Rupali Thorat,rupali.thorat209@example.com,Researcher,VLG002,11,1,,2016-12-14
USR0210,Nitin Joshi,nitin.joshi210@example.com,Citizen,VLG095,36,2,,2023-05-20
USR0211,Ramesh Kale,ramesh.kale211@example.com,Citizen,VLG090,272,16,Green Guardian;Verified Observer;Top Contributor,2022-01-29
USR0212,Vihaan Kale,vihaan.kale212@example.com,Citizen,VLG033,95,5,Top Contributor,2024-05-02
USR0213,Suresh Pawar,suresh.pawar213@example.com,Forest Officer,VLG016,12,2,,2023-11-21
USR0214,Neha Gaikwad,neha.gaikwad214@example.com,Researcher,VLG044,34,2,Top Contributor,2023-11-07
USR0215,Priya Jadhav,priya.jadhav215@example.com,Citizen,VLG088,0,0,Newcomer,2018-02-04
USR0216,Pooja Jadhav,pooja.jadhav216@example.com,Citizen,VLG006,42,3,,2022-11-28
USR0217,Aditya Kale,aditya.kale217@example.com,Researcher,VLG083,95,5,Top Contributor;Community Champion,2019-02-03
USR0218,Krishna Ghadge,krishna.ghadge218@example.com,Citizen,VLG061,18,2,Bird Buff,2016-04-19
USR0219,Rupali Bhosale,rupali.bhosale219@example.com,Citizen,VLG025,36,4,,2020-03-05
USR0220,Rupali Joshi,rupali.joshi220@example.com,Citizen,VLG039,45,5,Top Contributor,2018-04-29
USR0221,Ramesh More,ramesh.more221@example.com,Forest Officer,VLG047,0,0,Green Guardian,2018-08-08
USR0222,Mahesh Rathod,mahesh.rathod222@example.com,Citizen,VLG064,33,3,,2018-05-06
USR0223,Mahesh Joshi,mahesh.joshi223@example.com,Forest Officer,VLG042,84,7,Top Contributor,2017-07-29
USR0224,Sunil Shinde,sunil.shinde224@example.com,Citizen,VLG092,0,0,,2020-04-03
USR0225,Saanvi Salunkhe,saanvi.salunkhe225@example.com,Researcher,VLG066,30,6,Verified Observer,2020-05-26
USR0226,Ira Wagh,ira.wagh226@example.com,Administrator,VLG011,192,12,Community Champion;Species Spotter,2026-04-27
USR0227,Ishaan Bankar,ishaan.bankar227@example.com,Citizen,VLG047,0,0,,2019-07-18
USR0228,Pari Ghadge,pari.ghadge228@example.com,Researcher,VLG093,24,2,Verified Observer,2019-09-10
USR0229,Sarika Shelke,sarika.shelke229@example.com,Administrator,VLG081,14,2,,2022-05-17
USR0230,Manisha Ghadge,manisha.ghadge230@example.com,Researcher,VLG030,39,3,,2025-08-19
USR0231,Aditya Pawar,aditya.pawar231@example.com,Citizen,VLG022,20,1,Green Guardian,2023-08-22
USR0232,Snehal Shelke,snehal.shelke232@example.com,Citizen,VLG034,32,2,,2019-02-09
USR0233,Kavya Pawar,kavya.pawar233@example.com,Citizen,VLG070,20,1,,2020-10-23
USR0234,Suresh Bhosale,suresh.bhosale234@example.com,Researcher,VLG073,18,3,Species Spotter,2025-05-29
USR0235,Mahesh Wagh,mahesh.wagh235@example.com,Citizen,VLG034,0,0,,2023-01-25
USR0236,Vihaan Thorat,vihaan.thorat236@example.com,Administrator,VLG002,143,13,Verified Observer;Wetland Watcher,2018-10-18
USR0237,Meena More,meena.more237@example.com,Citizen,VLG014,152,8,Bird Buff;Green Guardian,2019-02-10
USR0238,Neha Bhosale,neha.bhosale238@example.com,Researcher,VLG031,0,0,,2026-05-24
USR0239,Ira Deshmukh,ira.deshmukh239@example.com,Citizen,VLG047,24,4,Bird Buff,2016-05-24
USR0240,Krishna Kale,krishna.kale240@example.com,Researcher,VLG049,99,9,Green Guardian;Verified Observer,2016-08-15
USR0241,Manisha Patil,manisha.patil241@example.com,Forest Officer,VLG097,33,3,Verified Observer,2019-10-28
USR0242,Aarav Rathod,aarav.rathod242@example.com,Citizen,VLG046,18,2,,2021-01-13
USR0243,Vivaan Jadhav,vivaan.jadhav243@example.com,Administrator,VLG010,42,6,Top Contributor;Wetland Watcher,2023-05-05
USR0244,Pari Joshi,pari.joshi244@example.com,Researcher,VLG030,0,0,,2019-07-07
USR0245,Priya Kale,priya.kale245@example.com,Citizen,VLG063,9,1,Newcomer,2016-07-02
USR0246,Snehal Chavan,snehal.chavan246@example.com,Citizen,VLG045,14,1,,2017-01-12
USR0247,Snehal Kale,snehal.kale247@example.com,Citizen,VLG089,5,1,,2019-05-15
USR0248,Riya Wagh,riya.wagh248@example.com,Administrator,VLG060,55,5,Community Champion;Newcomer,2020-02-05
USR0249,Diya Thorat,diya.thorat249@example.com,Citizen,VLG027,165,11,Species Spotter;Green Guardian,2022-09-28
USR0250,Sunita Ghadge,sunita.ghadge250@example.com,Citizen,VLG028,10,2,,2016-11-05
USR0251,Manisha Salunkhe,manisha.salunkhe251@example.com,Citizen,VLG078,0,0,,2019-10-21
USR0252,Sanjay Sable,sanjay.sable252@example.com,Citizen,VLG011,36,3,,2016-05-10
